                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4215,                 1.7391,                 1.5103,                0.28511,                0.18919,                0.13772,                0.04818,                 2.3531,                 3.5877,                 2.9674,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.4389,                 1.7191,                 1.4737,                0.16457,                0.37838,                0.12697,                0.03845,                 2.3372,                 3.7689,                 2.8854,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.4766,                 1.7766,                 1.4697,                0.17317,                0.45946,                0.11478,                0.03278,                 2.3597,                  3.035,                 2.8202,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.4565,                 1.6847,                 1.4729,                0.13471,                0.45946,                0.12294,                0.03113,                 2.3367,                 2.8725,                 2.8854,               0.001307,               0.001307,               0.001307
                     38,                 1.4758,                 1.7359,                 1.5107,                 0.1126,                0.40541,                0.11051,                0.03595,                 2.2302,                 2.9366,                 2.9493,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.4464,                 1.7135,                 1.4817,                0.16808,                0.35135,                0.12143,                0.03389,                 2.2974,                 2.9381,                 3.0242,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.5089,                 1.6859,                  1.491,                 0.1014,                0.35135,                0.06939,                0.02114,                  2.245,                 3.3359,                 3.0404,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.3521,                 1.5721,                 1.4146,                0.14469,                0.27027,                0.08929,                0.02475,                 2.1627,                 3.3871,                 2.7846,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.4508,                 1.5964,                 1.4715,                0.14372,                0.44006,                0.12178,                0.03537,                 2.2691,                 3.2862,                 2.7845,               0.001208,               0.001208,               0.001208
                     43,                 1.4446,                 1.5646,                 1.4685,                0.23495,                0.19095,                0.13431,                0.04118,                 2.3418,                 3.0807,                 2.9562,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.3758,                 1.5295,                 1.4624,                  0.341,                0.24324,                0.17458,                0.05779,                 2.1834,                 3.0461,                  2.786,              0.0011684,              0.0011684,              0.0011684
                     45,                  1.362,                 1.5432,                 1.4861,                0.36918,                0.21622,                0.16217,                0.05072,                 2.2058,                 3.0519,                  2.649,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.4026,                 1.5495,                  1.456,                0.35162,                0.27027,                 0.1904,                0.04993,                 2.2418,                 3.3813,                 2.5797,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.3501,                 1.4987,                 1.3969,                0.20105,                0.32432,                0.16751,                 0.0378,                  2.311,                 3.8335,                 2.6398,               0.001109,               0.001109,               0.001109
                     48,                  1.348,                 1.4266,                 1.3623,                0.05563,                0.13514,                0.02804,                0.00723,                 2.4981,                 5.4259,                 2.8354,              0.0010892,              0.0010892,              0.0010892
                     49,                  1.305,                 1.4016,                 1.3728,                 0.1944,                0.13514,                0.10208,                0.02079,                 2.3438,                 4.3548,                 2.7104,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.2639,                 1.3751,                 1.3383,                0.16991,                0.27027,                0.12126,                0.03272,                 2.3163,                 3.3098,                 2.7371,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2655,                  1.324,                 1.3293,                0.21189,                0.27027,                0.18491,                0.04608,                 2.3381,                  2.899,                 2.7636,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.3662,                 1.4681,                 1.4541,                0.33535,                0.35135,                0.25072,                 0.0878,                  2.273,                 2.5249,                 2.7203,                0.00101,                0.00101,                0.00101
                     53,                 1.3178,                 1.4006,                 1.3642,                0.39231,                0.35135,                0.27958,                0.09057,                 2.1985,                 2.5276,                 2.6522,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.2891,                 1.3827,                 1.3475,                0.44381,                0.27027,                0.27272,                0.09871,                 1.9794,                 2.4122,                 2.5015,              0.0009704,              0.0009704,              0.0009704
                     55,                  1.308,                  1.313,                 1.3784,                0.53129,                0.18919,                0.21682,                0.07597,                 2.0128,                 2.5401,                 2.4611,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2846,                 1.3969,                 1.3527,                0.21771,                0.27027,                0.18836,                 0.0493,                 2.2102,                 2.8223,                 2.4837,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.2266,                  1.362,                 1.3118,                0.28747,                 0.2973,                0.16959,                0.05023,                 2.3809,                  2.827,                 2.7182,               0.000911,               0.000911,               0.000911
                     58,                  1.264,                 1.3598,                 1.3123,                0.36337,                0.24324,                0.17144,                0.05005,                 2.3414,                 2.7896,                 2.7644,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.2304,                 1.3531,                 1.3253,                 0.3138,                0.16216,                 0.1328,                 0.0404,                  2.392,                 2.8604,                  2.882,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.1997,                 1.3139,                 1.3126,                0.32957,                0.21622,                0.13816,                0.04353,                 2.5494,                 2.8577,                 2.9671,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.2565,                 1.3675,                 1.3484,                0.44933,                0.21622,                0.16043,                0.05456,                 2.3512,                 2.6918,                 2.7119,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.2038,                 1.2784,                 1.3032,                0.35617,                 0.2973,                0.21419,                0.07528,                 2.2372,                  2.564,                 2.5803,               0.000812,               0.000812,               0.000812
                     63,                 1.2412,                   1.26,                 1.3379,                0.43416,                0.27027,                0.22664,                0.07629,                 2.2274,                 2.5281,                 2.5862,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.1767,                 1.1972,                 1.2779,                0.37634,                0.29367,                0.27239,                0.09245,                 2.1462,                 2.4472,                 2.4936,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1631,                 1.2408,                 1.2633,                0.36369,                0.32432,                0.28995,                0.09474,                 2.1199,                 2.4196,                 2.4801,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.2086,                 1.2759,                 1.2786,                0.46269,                0.35135,                0.30692,                 0.1035,                 2.0795,                 2.3569,                 2.4891,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1581,                 1.1979,                 1.2382,                0.41038,                0.35135,                 0.3105,                0.10825,                 2.1204,                 2.3796,                 2.6438,               0.000713,               0.000713,               0.000713
                     68,                 1.1761,                  1.234,                 1.2963,                0.46634,                0.32432,                0.29003,                0.08915,                 2.1494,                 2.3385,                 2.7584,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.1662,                 1.1723,                 1.2584,                0.33743,                 0.2973,                0.27649,                0.10075,                 2.1718,                  2.351,                 2.8207,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1285,                 1.1565,                 1.2621,                0.30697,                0.27027,                0.26767,                0.10409,                 2.1036,                 2.3658,                 2.6821,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.0871,                 1.1106,                 1.2514,                0.33304,                0.32432,                0.27362,                0.09934,                  2.043,                 2.4211,                 2.6387,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1431,                 1.1382,                 1.2438,                0.43076,                0.40541,                0.30121,                0.10475,                 2.0218,                 2.3715,                 2.5631,               0.000614,               0.000614,               0.000614
                     73,                 1.1727,                 1.2187,                   1.31,                0.42476,                0.45946,                0.30885,                0.10716,                 2.0253,                 2.3754,                 2.5147,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.0748,                 1.0829,                 1.2149,                0.47547,                0.51351,                0.34316,                0.12403,                 2.0331,                 2.4088,                  2.449,              0.0005744,              0.0005744,              0.0005744
                     75,                  1.067,                  1.065,                  1.206,                0.41635,                0.54054,                0.33222,                0.12297,                 2.0061,                 2.3692,                 2.4496,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.0452,                 1.0714,                 1.2189,                0.37985,                0.48649,                  0.309,                0.11659,                 1.9502,                 2.3597,                 2.4222,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.0997,                 1.1544,                 1.2536,                0.38399,                0.51351,                 0.3462,                0.12811,                  1.918,                 2.3638,                 2.4092,               0.000515,               0.000515,               0.000515
                     78,                 1.0812,                 1.1402,                 1.2371,                0.42436,                0.48649,                0.38571,                0.14202,                 1.9483,                 2.3383,                 2.4284,              0.0004952,              0.0004952,              0.0004952
                     79,                  1.055,                 1.0632,                 1.2061,                0.44401,                0.51351,                0.40313,                0.14938,                 1.9084,                 2.2779,                 2.3987,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.0664,                 1.0846,                 1.2354,                0.46052,                0.51351,                0.37157,                0.15016,                 2.0126,                 2.4045,                 2.3964,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.0758,                 1.0529,                 1.2339,                0.39548,                0.43243,                0.37087,                0.12864,                 2.1282,                 2.4389,                 2.4667,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.0112,                 1.0521,                 1.2001,                0.40738,                0.40541,                0.31546,                0.11083,                 2.2007,                 2.4953,                 2.5335,               0.000416,               0.000416,               0.000416
                     83,                 1.0182,                0.99973,                 1.2031,                0.36735,                0.37838,                0.27442,                0.10422,                 2.2169,                  2.489,                 2.5851,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.0386,                 1.0085,                 1.1905,                0.44864,                 0.2973,                0.28748,                0.11459,                 2.1405,                  2.544,                 2.5925,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.0086,                 1.0281,                 1.1983,                0.45773,                 0.2973,                0.27135,                0.09881,                 2.1789,                 2.5539,                  2.615,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0146,                 1.0058,                 1.2034,                0.47904,                 0.2973,                0.27452,                0.09733,                 2.2129,                 2.5171,                  2.638,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.0029,                 1.0274,                 1.2095,                0.43195,                 0.2973,                0.25677,                0.08187,                 2.2251,                 2.5022,                 2.6211,               0.000317,               0.000317,               0.000317
                     88,                0.98072,                0.93213,                 1.1533,                0.36848,                 0.2973,                0.22847,                0.07555,                 2.1944,                 2.5117,                 2.5735,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.0019,                0.94319,                 1.1753,                0.31755,                0.32432,                0.23538,                0.07651,                  2.183,                 2.4663,                  2.551,              0.0002774,              0.0002774,              0.0002774
                     90,                0.93781,                 1.0088,                 1.1729,                0.28646,                0.35135,                0.22623,                0.08059,                 2.1613,                 2.4497,                 2.5316,              0.0002576,              0.0002576,              0.0002576
                     91,                0.98355,                 1.1496,                 1.1906,                0.30835,                0.34947,                0.21083,                0.07627,                 2.1741,                 2.4359,                 2.5493,              0.0002378,              0.0002378,              0.0002378
                     92,                0.96966,                 1.0385,                   1.18,                0.30831,                0.35135,                0.21356,                0.07599,                 2.1505,                 2.4391,                 2.5987,               0.000218,               0.000218,               0.000218
                     93,                  1.028,                 1.0643,                 1.2393,                0.31238,                0.31934,                0.22395,                  0.078,                 2.1317,                 2.4501,                 2.5699,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.0101,                 1.0136,                 1.1957,                0.33482,                0.40541,                0.29478,                0.08937,                 2.0799,                 2.5107,                  2.507,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0415,                 1.0501,                 1.2425,                0.36442,                0.43243,                0.32848,                0.09296,                  2.037,                 2.5065,                  2.448,              0.0001586,              0.0001586,              0.0001586
                     96,                0.96868,                 0.9505,                 1.1792,                0.35085,                0.42375,                0.29899,                0.08902,                 2.0248,                 2.5494,                 2.4635,              0.0001388,              0.0001388,              0.0001388
                     97,                0.99755,                0.96847,                 1.1714,                0.34804,                0.43243,                0.30458,                0.09256,                 2.0383,                 2.5653,                 2.4779,               0.000119,               0.000119,               0.000119
                     98,                0.99475,                0.99812,                 1.1878,                0.34618,                0.45946,                0.33058,                0.09434,                 2.0282,                 2.5755,                 2.4651,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.99029,                0.96805,                 1.1961,                0.41138,                0.35135,                0.31861,                0.09533,                 2.0231,                 2.5671,                 2.4589,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.98125,                0.96822,                 1.2412,                0.42732,                0.32272,                0.29465,                0.09303,                 1.9823,                 2.5144,                 2.4238,               5.96e-05,               5.96e-05,               5.96e-05
