                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9329,                 5.8076,                  2.335,                      0,                      0,                      0,                      0,                 3.4842,                 4.6605,                 3.0234,                4.2e-06,                4.2e-06,                4.2e-06
                      2,                 2.9826,                 5.8068,                 2.3496,                      0,                      0,                      0,                      0,                 3.4843,                 4.6502,                 2.9867,             9.2629e-06,             9.2629e-06,             9.2629e-06
                      3,                 2.8264,                 5.7243,                 2.2311,                      0,                      0,                      0,                      0,                 3.3261,                 4.6433,                 2.7962,             1.4118e-05,             1.4118e-05,             1.4118e-05
                      4,                 2.5094,                 5.5719,                 1.9657,                      0,                      0,                      0,                      0,                  3.224,                 4.6239,                 2.6199,             1.8765e-05,             1.8765e-05,             1.8765e-05
                      5,                 2.2993,                 5.5833,                 1.9218,                      0,                      0,                      0,                      0,                 2.9339,                  4.586,                 2.2918,             2.3204e-05,             2.3204e-05,             2.3204e-05
                      6,                 2.0191,                 5.4696,                 1.7004,                      0,                      0,                      0,                      0,                 2.6835,                 4.5719,                 2.0887,             2.7435e-05,             2.7435e-05,             2.7435e-05
                      7,                 1.8427,                 5.3162,                 1.5563,                      0,                      0,                      0,                      0,                 2.2764,                 4.5053,                 1.7679,             3.1459e-05,             3.1459e-05,             3.1459e-05
                      8,                 1.6436,                 5.2748,                 1.4945,                      0,                      0,                      0,                      0,                 1.9304,                 4.4678,                 1.5313,             3.5274e-05,             3.5274e-05,             3.5274e-05
                      9,                  1.518,                 5.1824,                 1.4805,                      0,                      0,                      0,                      0,                 1.4783,                 4.4376,                  1.291,             3.8882e-05,             3.8882e-05,             3.8882e-05
                     10,                 1.4676,                 5.1636,                   1.42,                      0,                      0,                      0,                      0,                 1.3341,                 4.4314,                 1.2128,             4.2282e-05,             4.2282e-05,             4.2282e-05
                     11,                 1.4561,                 5.1022,                 1.4422,                      0,                      0,                      0,                      0,                 1.2505,                 4.4297,                 1.1568,             4.5473e-05,             4.5473e-05,             4.5473e-05
                     12,                  1.507,                 5.1229,                 1.4373,                      0,                      0,                      0,                      0,                 1.2074,                 4.4224,                 1.1177,             4.8457e-05,             4.8457e-05,             4.8457e-05
                     13,                 1.3798,                 4.9389,                 1.3462,                      0,                      0,                      0,                      0,                 1.1943,                 4.4193,                 1.1072,             5.1233e-05,             5.1233e-05,             5.1233e-05
                     14,                 1.3756,                 4.9601,                 1.3818,                      0,                      0,                      0,                      0,                  1.161,                 4.4019,                  1.087,             5.3801e-05,             5.3801e-05,             5.3801e-05
