                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8983,                 5.9855,                 2.3192,                      0,                      0,                      0,                      0,                 3.3678,                 4.7812,                 3.1028,                 0.0004,                 0.0004,                 0.0004
                      2,                 2.9618,                 5.9349,                 2.3596,                      0,                      0,                      0,                      0,                 3.3765,                 4.7548,                 3.1128,             0.00089999,             0.00089999,             0.00089999
                      3,                 2.8187,                 5.8056,                 2.2212,                      0,                      0,                      0,                      0,                 3.0482,                 4.6899,                 2.5389,                 0.0014,                 0.0014,                 0.0014
                      4,                 2.0149,                 5.5282,                 1.6263,                      0,                      0,                      0,                      0,                  2.739,                 4.6716,                 2.2332,              0.0018999,              0.0018999,              0.0018999
                      5,                 1.5899,                 5.4581,                 1.4878,                      0,                      0,                      0,                      0,                 2.3818,                  4.642,                 1.8837,              0.0023999,              0.0023999,              0.0023999
                      6,                 1.3725,                 5.3907,                 1.3598,                      0,                      0,                      0,                      0,                 1.5986,                 4.5949,                 1.3534,              0.0028999,              0.0028999,              0.0028999
                      7,                 1.3834,                 5.3485,                 1.3489,                      0,                      0,                      0,                      0,                  1.883,                 4.7843,                 1.8227,              0.0033998,              0.0033998,              0.0033998
                      8,                 1.2219,                 5.2791,                 1.2355,                      0,                      0,                      0,                      0,                 1.8469,                 4.8351,                 1.8503,              0.0038997,              0.0038997,              0.0038997
                      9,                 1.2476,                 5.1582,                 1.2629,                      0,                      0,                      0,                      0,                 1.8353,                 4.8888,                 1.9273,              0.0043997,              0.0043997,              0.0043997
                     10,                 1.2717,                 5.1117,                 1.2363,                      0,                      0,                      0,                      0,                 1.4768,                 4.7428,                 1.4863,              0.0048996,              0.0048996,              0.0048996
                     11,                 1.2535,                 5.0208,                 1.2596,                      0,                      0,                      0,                      0,                 1.2478,                 4.6422,                 1.2562,              0.0053995,              0.0053995,              0.0053995
                     12,                 1.2628,                 5.0506,                 1.2512,                      0,                      0,                      0,                      0,                 1.3014,                  4.704,                 1.3677,              0.0058994,              0.0058994,              0.0058994
                     13,                 1.2439,                  4.879,                 1.2612,                      0,                      0,                      0,                      0,                 1.3361,                 4.5782,                 1.3001,              0.0063992,              0.0063992,              0.0063992
                     14,                 1.3524,                 4.9092,                 1.3399,                0.00093,                0.01271,                0.00117,                0.00087,                 1.1568,                 4.4979,                 1.1694,              0.0068991,              0.0068991,              0.0068991
                     15,                 1.2227,                 4.9714,                 1.2959,                0.00184,                0.04661,                0.00336,                0.00149,                 1.2851,                  4.473,                 1.2701,               0.007399,               0.007399,               0.007399
                     16,                 1.2279,                 4.9752,                 1.3437,                0.00232,                 0.0678,                0.00642,                0.00394,                  1.173,                 4.5063,                 1.2674,              0.0078988,              0.0078988,              0.0078988
                     17,                 1.2778,                 4.7804,                 1.2769,                0.00539,                0.16949,                0.01785,                0.01237,                 1.1886,                 4.2914,                 1.2599,              0.0083987,              0.0083987,              0.0083987
                     18,                 1.2816,                 4.7532,                 1.3128,                0.01345,                0.21186,                0.03621,                0.02367,                 1.2281,                 4.2405,                 1.2802,              0.0088985,              0.0088985,              0.0088985
                     19,                 1.3145,                 4.6764,                 1.3206,                0.00826,                0.35593,                0.03929,                0.02417,                  1.191,                 4.1259,                 1.2473,              0.0093983,              0.0093983,              0.0093983
                     20,                 1.3169,                 4.5706,                 1.3074,                0.00743,                0.50847,                0.04362,                0.02904,                 1.2342,                 4.0163,                 1.3152,              0.0098981,              0.0098981,              0.0098981
                     21,                  1.291,                 4.4643,                 1.2712,                0.00417,                0.27966,                0.03205,                0.01205,                 1.8052,                 4.3668,                 1.8884,               0.009998,               0.009998,               0.009998
                     22,                 1.3321,                 4.5466,                 1.3139,                0.00971,                0.30508,                0.05679,                0.04061,                 1.3393,                 4.4764,                 1.6502,              0.0099979,              0.0099979,              0.0099979
                     23,                 1.3128,                  4.564,                  1.348,                0.00013,                0.03814,                0.01053,                0.00478,                 2.4352,                 5.3381,                 3.1338,              0.0099978,              0.0099978,              0.0099978
