                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6784,                  3.152,                 1.6905,                0.00517,                0.83784,                0.10056,                0.02398,                 1.7357,                 3.5885,                 2.0612,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.6465,                  3.013,                 1.7083,                0.00517,                0.83784,                0.15556,                 0.0555,                 1.6186,                 3.5006,                 2.0929,             0.00017822,             0.00017822,             0.00017822
                      3,                    1.7,                 2.7612,                 1.6409,                0.00567,                0.91892,                0.23493,                0.07864,                 1.7471,                 3.4918,                 2.2246,             0.00027446,             0.00027446,             0.00027446
                      4,                  1.459,                 2.3797,                  1.529,                0.00567,                0.91892,                0.25749,                0.09006,                   1.72,                 3.5515,                 2.1744,             0.00036871,             0.00036871,             0.00036871
                      5,                 1.5005,                 2.3087,                 1.5537,                 0.0055,                0.89189,                0.28585,                  0.076,                 1.8738,                 3.4694,                 2.2485,             0.00046099,             0.00046099,             0.00046099
                      6,                 1.5407,                 2.2523,                 1.5339,                0.00583,                0.94595,                0.23714,                0.06191,                 2.0692,                  3.467,                 2.3533,             0.00055129,             0.00055129,             0.00055129
                      7,                 1.5102,                  2.202,                 1.4856,                0.00583,                0.94595,                0.12401,                0.03915,                 2.1776,                 3.5729,                 2.5386,             0.00063961,             0.00063961,             0.00063961
                      8,                 1.4985,                  2.098,                  1.504,                0.00891,                0.83784,                0.09758,                0.03122,                   2.14,                 3.5329,                 2.6631,             0.00072595,             0.00072595,             0.00072595
                      9,                 1.4973,                 2.0897,                 1.4781,                0.26968,                0.16216,                0.15568,                0.05967,                 2.1227,                 3.2246,                 2.8744,              0.0008103,              0.0008103,              0.0008103
                     10,                 1.4604,                 2.0478,                  1.492,                0.18654,                0.27027,                0.13668,                0.05936,                 2.0965,                 3.2651,                 2.9031,             0.00089268,             0.00089268,             0.00089268
                     11,                 1.5377,                 1.9777,                 1.5008,                0.18115,                0.32432,                0.11688,                0.03812,                 2.0221,                 3.4028,                 2.8363,             0.00097308,             0.00097308,             0.00097308
                     12,                 1.4392,                 1.9563,                  1.432,                0.20675,                0.24324,                0.18818,                 0.0641,                 2.1015,                 3.2139,                 3.1685,              0.0010515,              0.0010515,              0.0010515
                     13,                 1.5192,                 2.0237,                 1.5021,                   0.27,                0.13514,                 0.1289,                 0.0446,                 2.0371,                 3.3039,                 3.0157,              0.0011279,              0.0011279,              0.0011279
                     14,                 1.5267,                 1.9171,                 1.4659,                0.06536,                0.10811,                0.05735,                0.01672,                 1.9934,                  3.535,                   2.89,              0.0012024,              0.0012024,              0.0012024
                     15,                 1.4949,                 2.0126,                  1.516,                0.17405,                0.18919,                0.09911,                0.03792,                 2.1021,                 3.2855,                 3.1509,              0.0012749,              0.0012749,              0.0012749
                     16,                 1.5041,                 2.0804,                   1.55,                0.19271,                0.32432,                0.08229,                0.02991,                 2.3769,                 3.4656,                 3.8047,              0.0013454,              0.0013454,              0.0013454
                     17,                 1.5239,                 1.9762,                 1.5308,                0.13847,                0.18919,                0.06762,                0.02009,                 2.6728,                 3.8416,                 4.6418,              0.0014139,              0.0014139,              0.0014139
                     18,                  1.498,                  1.918,                 1.5522,                0.06642,                0.21622,                0.03056,                0.00987,                 2.5168,                 3.6659,                 4.3121,              0.0014804,              0.0014804,              0.0014804
                     19,                 1.5057,                 1.8975,                 1.5295,                0.18108,                0.27027,                 0.0791,                0.03096,                  2.552,                 3.4893,                 4.2491,               0.001545,               0.001545,               0.001545
                     20,                 1.5912,                  1.945,                 1.5824,                0.21084,                0.27027,                0.11988,                0.03784,                 2.4157,                  3.754,                 3.6555,              0.0016076,              0.0016076,              0.0016076
                     21,                 1.6415,                 2.0545,                 1.6424,                0.29339,                0.43243,                0.17272,                0.06085,                 2.2877,                 3.8732,                 3.2726,               0.001604,               0.001604,               0.001604
                     22,                 1.5206,                 1.8992,                 1.5172,                0.42202,                0.32432,                 0.2788,                0.07565,                 2.2145,                  3.535,                 3.2245,               0.001604,               0.001604,               0.001604
                     23,                 1.5113,                 1.8679,                 1.4746,                0.34055,                0.16216,                0.19085,                0.04291,                 2.3325,                 3.9759,                 3.2709,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.5396,                 1.9284,                 1.5243,                 0.1437,                 0.2973,                0.10679,                0.03799,                 2.1556,                 3.3818,                 3.2088,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.5353,                 1.9104,                 1.5301,                0.34703,                0.24324,                0.22297,                0.07774,                  2.236,                 3.5653,                 3.3007,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.4935,                 1.7984,                 1.4978,                0.30943,                0.27027,                0.20819,                0.06182,                 2.2381,                 4.3831,                 3.2971,              0.0015248,              0.0015248,              0.0015248
                     27,                  1.589,                 1.8945,                 1.5813,                0.29317,                0.24324,                0.17803,                0.05094,                 2.3795,                 3.7658,                 3.3747,               0.001505,               0.001505,               0.001505
                     28,                 1.5154,                 1.8769,                 1.5442,                0.20078,                0.18919,                0.14401,                0.03581,                 2.2875,                 3.5239,                 3.4091,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.5168,                 1.8835,                 1.6415,                0.21346,                0.16216,                0.12662,                0.03445,                 2.3121,                 3.5094,                 3.4751,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.4999,                 1.8919,                 1.5396,                0.18673,                 0.2973,                0.14658,                0.03364,                  2.491,                 3.4522,                 3.4085,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.4806,                 1.8147,                 1.5291,                0.20018,                0.21622,                0.11544,                0.03175,                 2.5434,                 3.5323,                  3.391,              0.0014258,              0.0014258,              0.0014258
                     32,                  1.572,                 1.9122,                 1.5779,                0.22036,                0.18919,                0.08303,                0.03001,                 2.5993,                 4.1157,                 3.1828,               0.001406,               0.001406,               0.001406
                     33,                 1.4932,                 1.8202,                 1.4692,                0.20109,                0.37838,                0.14416,                0.03984,                 2.3192,                 3.8508,                 2.7898,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.4215,                 1.7391,                 1.5103,                0.31528,                0.18919,                0.13845,                0.04847,                 2.3546,                  3.564,                  2.963,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.4389,                 1.7191,                 1.4737,                0.16456,                0.37838,                0.12746,                0.03838,                 2.3365,                 3.7605,                 2.8873,              0.0013466,              0.0013466,              0.0013466
