                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.5624,                 5.3357,                 4.0491,                0.00064,                0.02281,                0.00053,                0.00011,                 3.3601,                  4.897,                 4.0444,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                 3.5149,                 5.3476,                 4.0563,                0.00163,                0.02865,                0.00127,                 0.0003,                 3.3559,                 4.8904,                 4.0331,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                 3.5476,                 5.3488,                  4.047,                0.00162,                0.03598,                0.00177,                0.00038,                 3.3479,                 4.8685,                 4.0205,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                 3.5802,                 5.3763,                 4.0378,                0.00111,                0.03372,                0.00277,                0.00068,                  3.338,                 4.8504,                 4.0129,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                 3.4422,                 5.3853,                 4.0258,                0.00083,                0.03338,                0.00252,                0.00061,                 3.3338,                 4.8405,                 4.0016,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                 3.5169,                 5.2902,                 4.0165,                0.01486,                0.03963,                0.01188,                0.00139,                 3.3349,                 4.8319,                 3.9927,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                 3.4739,                 5.3193,                 4.0187,                0.00765,                0.03353,                0.00791,                0.00139,                 3.3288,                 4.8305,                 3.9874,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                 3.4077,                 5.3267,                 3.9874,                0.00893,                0.03668,                0.00905,                0.00164,                 3.3216,                 4.8392,                  3.984,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                 3.4239,                 5.2995,                 4.0035,                0.00275,                 0.0359,                0.00417,                0.00079,                 3.3158,                 4.8393,                 3.9794,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                 3.4852,                 5.2648,                 3.9771,                0.00319,                0.03618,                0.00362,                0.00077,                 3.3166,                 4.8285,                 3.9733,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                 3.4764,                 5.2871,                  3.989,                0.00527,                0.03381,                0.00509,                0.00114,                 3.3074,                 4.8177,                 3.9698,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                 3.5182,                 5.2106,                 3.9635,                  0.002,                0.03113,                 0.0028,                0.00064,                  3.307,                 4.8129,                 3.9655,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                 3.4958,                 5.2696,                 3.9457,                0.00083,                0.02935,                0.00199,                0.00045,                 3.3041,                 4.8079,                 3.9625,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                 3.4525,                 5.2581,                 3.9592,                0.00091,                0.03518,                0.00214,                0.00032,                 3.3075,                 4.8123,                 3.9593,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                 3.5111,                 5.3227,                 3.9463,                 0.4397,                0.00381,                0.00308,                0.00038,                 3.3093,                 4.8164,                 3.9516,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                 3.5086,                 5.2588,                 3.9524,                0.00074,                0.03169,                0.00264,                0.00034,                 3.3075,                 4.8214,                  3.953,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                 3.5389,                 5.3025,                 3.9414,                0.00067,                0.03055,                 0.0036,                0.00042,                  3.304,                 4.8241,                 3.9542,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                 3.5172,                  5.196,                 3.9329,                0.36214,                0.01165,                0.00372,                0.00044,                  3.298,                 4.8152,                 3.9558,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                 3.4266,                 5.1687,                 3.9362,                0.24213,                0.01508,                0.00356,                0.00043,                 3.2937,                 4.8002,                 3.9544,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                 3.4981,                 5.2777,                 3.9216,                0.00747,                0.02763,                0.00622,                0.00071,                 3.2914,                 4.7718,                 3.9424,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                 3.4317,                 5.1994,                 3.9097,                0.00307,                0.03217,                0.00388,                0.00047,                 3.2821,                 4.7507,                 3.9312,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                 3.4619,                 5.1725,                 3.9037,                 0.4838,                0.00338,                0.00365,                0.00051,                  3.273,                 4.7352,                 3.9259,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                 3.4148,                 5.2244,                 3.9137,                0.48087,                0.00349,                0.00263,                0.00051,                 3.2646,                 4.7232,                  3.917,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                 3.3689,                 5.1424,                 3.9038,                0.49679,                0.00636,                0.00375,                0.00056,                  3.261,                 4.7277,                 3.9097,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                 3.3628,                 5.1929,                  3.898,                0.46868,                0.00636,                0.00473,                0.00074,                 3.2587,                 4.7305,                 3.9097,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                 3.4713,                 5.1155,                 3.8865,                0.46797,                0.00636,                0.00371,                0.00064,                 3.2593,                  4.719,                 3.9047,             5.1848e-05,             5.1848e-05,             5.1848e-05
