                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9282,                 5.9796,                 2.3253,                      0,                      0,                      0,                      0,                 3.3677,                 4.7796,                 3.0995,               3.28e-06,               3.28e-06,               3.28e-06
                      2,                 2.9962,                 5.9262,                 2.3656,                      0,                      0,                      0,                      0,                 3.3774,                 4.7549,                 3.1141,             7.2339e-06,             7.2339e-06,             7.2339e-06
                      3,                  2.861,                  5.879,                 2.2387,                      0,                      0,                      0,                      0,                 3.3134,                 4.7398,                 2.9608,             1.1025e-05,             1.1025e-05,             1.1025e-05
                      4,                 2.5575,                 5.7159,                 1.9998,                      0,                      0,                      0,                      0,                 3.2325,                 4.7243,                 2.7954,             1.4655e-05,             1.4655e-05,             1.4655e-05
                      5,                  2.405,                 5.7712,                 1.9888,                      0,                      0,                      0,                      0,                 3.0125,                 4.6933,                 2.5116,             1.8121e-05,             1.8121e-05,             1.8121e-05
                      6,                  2.177,                 5.6931,                 1.7841,                      0,                      0,                      0,                      0,                 2.9093,                 4.6874,                 2.3934,             2.1426e-05,             2.1426e-05,             2.1426e-05
                      7,                 2.0649,                 5.5847,                 1.6723,                      0,                      0,                      0,                      0,                 2.5722,                 4.6548,                 2.0776,             2.4568e-05,             2.4568e-05,             2.4568e-05
                      8,                 1.7985,                 5.5552,                 1.5717,                      0,                      0,                      0,                      0,                 2.2742,                 4.6281,                 1.8505,             2.7548e-05,             2.7548e-05,             2.7548e-05
                      9,                 1.6718,                 5.4202,                 1.5123,                      0,                      0,                      0,                      0,                 1.8392,                 4.6056,                 1.5574,             3.0365e-05,             3.0365e-05,             3.0365e-05
                     10,                 1.5546,                  5.411,                 1.4258,                      0,                      0,                      0,                      0,                 1.5947,                 4.5963,                 1.4195,              3.302e-05,              3.302e-05,              3.302e-05
                     11,                 1.5132,                 5.3552,                 1.4446,                      0,                      0,                      0,                      0,                 1.4204,                 4.5918,                 1.2984,             3.5513e-05,             3.5513e-05,             3.5513e-05
                     12,                  1.526,                 5.4284,                 1.4193,                      0,                      0,                      0,                      0,                 1.2736,                 4.5883,                 1.2133,             3.7843e-05,             3.7843e-05,             3.7843e-05
                     13,                 1.3829,                 5.2613,                 1.3323,                      0,                      0,                      0,                      0,                  1.235,                  4.585,                 1.1913,             4.0011e-05,             4.0011e-05,             4.0011e-05
                     14,                 1.4382,                  5.313,                 1.4092,                      0,                      0,                      0,                      0,                 1.1822,                 4.5751,                 1.1561,             4.2016e-05,             4.2016e-05,             4.2016e-05
                     15,                 1.3891,                 5.2352,                 1.3273,                      0,                      0,                      0,                      0,                 1.1307,                 4.5603,                 1.1177,              4.386e-05,              4.386e-05,              4.386e-05
                     16,                 1.3151,                 5.2514,                 1.3163,                      0,                      0,                      0,                      0,                 1.1093,                 4.5527,                 1.1025,              4.554e-05,              4.554e-05,              4.554e-05
                     17,                  1.396,                 5.1764,                 1.3307,                      0,                      0,                      0,                      0,                  1.096,                 4.5291,                 1.0876,             4.7059e-05,             4.7059e-05,             4.7059e-05
                     18,                 1.2757,                 5.0956,                 1.2653,                      0,                      0,                      0,                      0,                 1.0908,                 4.5125,                 1.0821,             4.8415e-05,             4.8415e-05,             4.8415e-05
                     19,                 1.2755,                  5.087,                 1.2633,                0.00212,                0.00847,                0.00422,                0.00337,                 1.0799,                 4.4907,                 1.0758,             4.9609e-05,             4.9609e-05,             4.9609e-05
                     20,                 1.2943,                 5.0458,                 1.2724,                0.00178,                0.02119,                0.00312,                0.00264,                 1.0839,                 4.4232,                 1.0732,              5.064e-05,              5.064e-05,              5.064e-05
                     21,                 1.2099,                 4.9229,                 1.2181,                0.00273,                0.05085,                0.00725,                0.00531,                 1.0784,                 4.3902,                  1.071,             4.9528e-05,             4.9528e-05,             4.9528e-05
                     22,                 1.2683,                 5.0488,                 1.2209,                0.00417,                0.08475,                0.00907,                0.00628,                 1.0768,                 4.3464,                 1.0706,             4.7904e-05,             4.7904e-05,             4.7904e-05
                     23,                 1.2815,                 5.0481,                 1.2713,                0.00893,                0.11441,                0.01688,                0.01279,                 1.0791,                 4.2966,                 1.0731,             4.6281e-05,             4.6281e-05,             4.6281e-05
                     24,                  1.284,                 4.9422,                 1.2338,                0.00831,                0.20339,                0.02711,                0.01999,                 1.0905,                 4.1981,                 1.0744,             4.4657e-05,             4.4657e-05,             4.4657e-05
                     25,                 1.2741,                 4.9541,                  1.269,                0.01739,                 0.2839,                0.04095,                0.03092,                 1.0903,                 4.1539,                 1.0768,             4.3034e-05,             4.3034e-05,             4.3034e-05
                     26,                 1.2102,                 4.9167,                 1.1973,                0.01091,                0.32627,                0.03761,                0.02855,                 1.0988,                 4.1121,                 1.0827,              4.141e-05,              4.141e-05,              4.141e-05
                     27,                 1.2792,                 4.8899,                 1.2528,                0.00906,                0.34322,                0.04072,                0.03027,                 1.1049,                 4.0853,                 1.0848,             3.9786e-05,             3.9786e-05,             3.9786e-05
                     28,                 1.2885,                 4.8277,                 1.2418,                0.01026,                0.42797,                0.04973,                0.03679,                  1.107,                 4.0407,                 1.0874,             3.8163e-05,             3.8163e-05,             3.8163e-05
                     29,                 1.2174,                 4.8375,                 1.2076,                0.01048,                0.46186,                0.05356,                0.03952,                 1.0937,                 4.0168,                  1.088,             3.6539e-05,             3.6539e-05,             3.6539e-05
                     30,                 1.2346,                 4.8127,                  1.236,                0.01224,                0.47881,                0.05779,                 0.0432,                 1.0782,                 3.9999,                 1.0796,             3.4916e-05,             3.4916e-05,             3.4916e-05
                     31,                 1.2516,                 4.9058,                 1.2597,                0.01147,                0.48729,                0.05799,                0.04309,                 1.0606,                 3.9848,                 1.0729,             3.3292e-05,             3.3292e-05,             3.3292e-05
                     32,                 1.1993,                 4.7287,                 1.1976,                0.01126,                0.50424,                0.05515,                0.04256,                  1.027,                 3.9535,                 1.0673,             3.1668e-05,             3.1668e-05,             3.1668e-05
                     33,                 1.2837,                 4.8081,                 1.2363,                0.01074,                0.50424,                0.06015,                0.04555,                 1.0245,                 3.9386,                 1.0732,             3.0045e-05,             3.0045e-05,             3.0045e-05
                     34,                 1.3209,                 4.8341,                 1.2497,                0.01023,                0.52966,                0.06293,                0.04776,                 1.0346,                 3.9185,                  1.078,             2.8421e-05,             2.8421e-05,             2.8421e-05
                     35,                   1.21,                 4.7451,                  1.238,                0.00999,                0.52966,                0.06237,                0.04716,                  1.043,                 3.9051,                 1.0809,             2.6798e-05,             2.6798e-05,             2.6798e-05
                     36,                 1.2431,                 4.7249,                   1.27,                0.00988,                0.53814,                 0.0693,                0.05261,                 1.0629,                 3.8824,                 1.0995,             2.5174e-05,             2.5174e-05,             2.5174e-05
                     37,                 1.2679,                 4.8118,                 1.2789,                 0.0092,                0.54661,                0.07026,                0.05329,                 1.0646,                 3.8658,                 1.1035,              2.355e-05,              2.355e-05,              2.355e-05
                     38,                 1.2801,                 4.8251,                 1.2553,                 0.0088,                0.56356,                0.06825,                 0.0512,                 1.0554,                 3.8521,                 1.1043,             2.1927e-05,             2.1927e-05,             2.1927e-05
                     39,                  1.229,                 4.6253,                 1.2537,                0.00862,                0.56356,                0.06917,                0.05144,                 1.0471,                 3.8457,                 1.1029,             2.0303e-05,             2.0303e-05,             2.0303e-05
                     40,                 1.3097,                 4.7596,                 1.2806,                0.00892,                0.58051,                0.06986,                0.05213,                 1.0232,                 3.8211,                 1.0959,              1.868e-05,              1.868e-05,              1.868e-05
                     41,                 1.0646,                 4.8273,                 1.1071,                0.40667,                0.18644,                0.06744,                0.05086,                 1.0051,                 3.8038,                 1.0872,             1.7056e-05,             1.7056e-05,             1.7056e-05
                     42,                 1.1088,                 4.8189,                 1.2026,                0.55998,                0.11017,                0.06839,                0.05269,                0.99324,                  3.792,                 1.0777,             1.5432e-05,             1.5432e-05,             1.5432e-05
                     43,                 1.0348,                 4.7767,                 1.1194,                0.69354,                 0.0733,                 0.0691,                0.05321,                0.98973,                 3.7799,                 1.0742,             1.3809e-05,             1.3809e-05,             1.3809e-05
                     44,                  1.053,                 4.8253,                 1.1544,                0.87301,                0.04664,                0.07093,                0.05399,                 1.0008,                 3.7687,                 1.0884,             1.2185e-05,             1.2185e-05,             1.2185e-05
                     45,                 1.0609,                 4.8202,                 1.1455,                  0.855,                0.04739,                0.07312,                0.05565,                  1.009,                  3.771,                 1.0948,             1.0562e-05,             1.0562e-05,             1.0562e-05
                     46,                 1.0584,                 4.7743,                 1.1461,                0.85465,                0.04715,                0.07754,                0.05806,                 1.0208,                 3.7618,                 1.1017,              8.938e-06,              8.938e-06,              8.938e-06
                     47,                 1.0576,                 4.8153,                 1.1506,                0.88378,                0.04661,                0.09043,                0.06842,                 1.0264,                 3.7622,                 1.1056,             7.3144e-06,             7.3144e-06,             7.3144e-06
                     48,                0.99132,                  4.774,                 1.1331,                0.87454,                 0.0456,                0.10042,                0.07038,                 1.0263,                 3.7592,                 1.1066,             5.6908e-06,             5.6908e-06,             5.6908e-06
                     49,                 1.0208,                  4.769,                  1.135,                0.88218,                 0.0463,                0.09768,                0.06812,                 1.0289,                 3.7568,                 1.1083,             4.0672e-06,             4.0672e-06,             4.0672e-06
                     50,                 1.0343,                 4.7848,                  1.136,                0.85418,                0.04661,                0.09259,                0.06386,                 1.0236,                 3.7513,                 1.1052,             2.4436e-06,             2.4436e-06,             2.4436e-06
