                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4572,                 4.1607,                 1.4149,                0.24668,                0.34322,                0.11184,                0.06644,                 1.4672,                 51.616,                 1.5763,              0.0099965,              0.0099965,              0.0099965
                     37,                 1.3816,                 4.2016,                 1.3689,                0.52335,                0.16057,                0.12962,                0.07826,                 1.3086,                 7.1613,                 1.4787,              0.0099964,              0.0099964,              0.0099964
                     38,                 1.4143,                 4.1537,                 1.3689,                0.69404,                0.18815,                0.17423,                 0.1049,                 1.3526,                 4.9931,                 1.4799,              0.0099963,              0.0099963,              0.0099963
                     39,                 1.3084,                  4.005,                 1.3424,                0.36363,                 0.3036,                0.19624,                0.12347,                 1.2587,                 5.7282,                 1.3779,              0.0099962,              0.0099962,              0.0099962
                     40,                 1.4168,                  4.014,                 1.3381,                0.45132,                0.28337,                0.21796,                0.14649,                 1.1977,                 4.9418,                 1.3912,              0.0099961,              0.0099961,              0.0099961
                     41,                 1.2926,                 4.0156,                 1.3101,                0.69744,                0.12764,                0.16563,                0.08535,                 1.7181,                  5.211,                 1.7103,               0.009996,               0.009996,               0.009996
                     42,                 1.2972,                 3.9852,                 1.3169,                0.49137,                0.30856,                 0.2167,                0.14604,                 1.1668,                 4.5468,                 1.4553,              0.0099959,              0.0099959,              0.0099959
                     43,                 1.3607,                 4.0114,                 1.3617,                0.52537,                0.21184,                0.18484,                0.10577,                 1.5668,                 10.416,                 1.6771,              0.0099958,              0.0099958,              0.0099958
                     44,                 1.2638,                 3.9857,                 1.3262,                0.40021,                0.31705,                0.24985,                0.15406,                 1.3468,                  8.855,                 1.5266,              0.0099957,              0.0099957,              0.0099957
                     45,                 1.3255,                 3.9135,                 1.3252,                0.64268,                0.26885,                0.26226,                0.19009,                 1.1165,                 5.1887,                 1.3614,              0.0099956,              0.0099956,              0.0099956
                     46,                 1.3819,                 3.8377,                 1.3923,                0.51543,                0.25759,                0.20894,                0.10858,                 1.6545,                 6.7853,                 1.7546,              0.0099955,              0.0099955,              0.0099955
                     47,                 1.3283,                 3.7743,                 1.3247,                0.71307,                0.23433,                0.33466,                0.24851,                  1.028,                 5.4357,                 1.2427,              0.0099954,              0.0099954,              0.0099954
                     48,                 1.3156,                 3.7037,                 1.3289,                0.34449,                0.43934,                0.36644,                0.26736,                 1.1353,                  3.324,                 1.3347,              0.0099953,              0.0099953,              0.0099953
                     49,                 1.4051,                 3.6822,                 1.3206,                0.62743,                0.21612,                0.28526,                 0.1888,                 1.1967,                 3.2277,                 1.2957,              0.0099952,              0.0099952,              0.0099952
                     50,                 1.3777,                 3.8563,                 1.3937,                0.62413,                0.29262,                0.36069,                0.27458,                0.99684,                 2.8174,                 1.1956,              0.0099951,              0.0099951,              0.0099951
                     51,                 1.3131,                 3.7405,                 1.2872,                0.56554,                0.34305,                0.37715,                0.28716,                0.99123,                 2.8472,                  1.191,              0.0099951,              0.0099951,              0.0099951
                     52,                 1.2149,                 3.7339,                  1.282,                0.50654,                0.39688,                0.40442,                0.30976,                 1.0014,                 2.6486,                 1.1921,               0.009995,               0.009995,               0.009995
                     53,                 1.3219,                 3.7879,                 1.3032,                  0.612,                0.31576,                0.40054,                0.31155,                0.98262,                 2.7603,                 1.1729,              0.0099949,              0.0099949,              0.0099949
                     54,                 1.2839,                  3.652,                 1.2807,                0.56345,                0.39756,                0.43636,                0.34007,                0.99328,                 3.0629,                 1.1804,              0.0099948,              0.0099948,              0.0099948
                     55,                 1.2585,                 3.6257,                 1.2656,                0.43158,                0.51108,                0.43307,                0.33111,                 1.0312,                 3.3114,                 1.1998,              0.0099947,              0.0099947,              0.0099947
